filename,file_type,period_start,period_end,rows,cols,encoding,null_count,date_like_columns,columns,status,error_message,head3
201801-201812_관광소비 추이.csv,tourism_spending_trend,201801,201812,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
201801    전국 관광총소비 1.138777e+10
201802    전국 관광총소비 1.093636e+10
201803    전국 관광총소비 1.212769e+10"
201801-201812_방문자 수 추이.csv,visitor_trend,201801,201812,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
201801    전국  외지인방문자(b) 206679774.0
201801    전국 전체방문자(a+b) 848838232.0
201801    전국  현지인방문자(a) 642158458.0"
201801-201812_업종별 지출액.csv,business_spending,201801,201812,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        38.3        40.0
쇼핑업  대형쇼핑몰        38.3        50.2
쇼핑업 레저용품쇼핑        38.3         6.1"
201801-201812_지역별 방문자 수(광역별).csv,regional_visitors_metro,201801,201812,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  585384894.0          21.4
 부산광역시  145717600.0           5.3
 대구광역시  104424348.0           3.8"
201801-201812_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,201801,201812,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  133465633.0           4.9   26285707.0          11.1
강원특별자치도    원주시  133465633.0           4.9   29589903.0          12.5
강원특별자치도    강릉시  133465633.0           4.9   31244031.0          13.2"
201801-201812_지역별 지출액.csv,regional_spending,201801,201812,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              2.9             14.2
강원특별자치도     고성군              2.9              2.7
강원특별자치도     동해시              2.9              4.0"
201901-201912_관광소비 추이.csv,tourism_spending_trend,201901,201912,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
201901    전국 관광총소비 1.238914e+10
201902    전국 관광총소비 1.124273e+10
201903    전국 관광총소비 1.307304e+10"
201901-201912_방문자 수 추이.csv,visitor_trend,201901,201912,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
201901    전국  외지인방문자(b) 216038820.0
201901    전국 전체방문자(a+b) 898036430.0
201901    전국  현지인방문자(a) 681997610.0"
201901-201912_업종별 지출액.csv,business_spending,201901,201912,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        38.8        40.3
쇼핑업  대형쇼핑몰        38.8        51.0
쇼핑업 레저용품쇼핑        38.8         5.8"
201901-201912_지역별 방문자 수(광역별).csv,regional_visitors_metro,201901,201912,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  648561588.0          22.0
 부산광역시  149672134.0           5.1
 대구광역시  106502840.0           3.6"
201901-201912_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,201901,201912,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  143757912.0           4.9   29784122.0          12.0
강원특별자치도    원주시  143757912.0           4.9   30466306.0          12.3
강원특별자치도    강릉시  143757912.0           4.9   32137920.0          13.0"
201901-201912_지역별 지출액.csv,regional_spending,201901,201912,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.0             14.9
강원특별자치도     고성군              3.0              2.8
강원특별자치도     동해시              3.0              3.8"
202001-202012_관광소비 추이.csv,tourism_spending_trend,202001,202012,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202001    전국 관광총소비 1.289734e+10
202002    전국 관광총소비 9.614626e+09
202003    전국 관광총소비 8.990319e+09"
202001-202012_방문자 수 추이.csv,visitor_trend,202001,202012,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
202001    전국  외지인방문자(b) 243720110.0
202001    전국 전체방문자(a+b) 943069908.0
202001    전국  현지인방문자(a) 699349798.0"
202001-202012_업종별 지출액.csv,business_spending,202001,202012,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        42.4        43.6
쇼핑업  대형쇼핑몰        42.4        49.5
쇼핑업 레저용품쇼핑        42.4         5.9"
202001-202012_지역별 방문자 수(광역별).csv,regional_visitors_metro,202001,202012,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  483312564.0          19.6
 부산광역시  124725884.0           5.1
 대구광역시   86201112.0           3.5"
202001-202012_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,202001,202012,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  131065291.0           5.3   26735810.0          11.4
강원특별자치도    원주시  131065291.0           5.3   27360834.0          11.7
강원특별자치도    강릉시  131065291.0           5.3   31213630.0          13.4"
202001-202012_지역별 지출액.csv,regional_spending,202001,202012,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.3             15.7
강원특별자치도     고성군              3.3              3.3
강원특별자치도     동해시              3.3              4.0"
202101-202112_관광소비 추이.csv,tourism_spending_trend,202101,202112,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202101    전국 관광총소비 9.234698e+09
202102    전국 관광총소비 9.871930e+09
202103    전국 관광총소비 1.131105e+10"
202101-202112_방문자 수 추이.csv,visitor_trend,202101,202112,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
202101    전국  외지인방문자(b) 170470996.0
202101    전국 전체방문자(a+b) 824546695.0
202101    전국  현지인방문자(a) 654075698.0"
202101-202112_업종별 지출액.csv,business_spending,202101,202112,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        43.5        42.2
쇼핑업  대형쇼핑몰        43.5        51.1
쇼핑업 레저용품쇼핑        43.5         5.7"
202101-202112_지역별 방문자 수(광역별).csv,regional_visitors_metro,202101,202112,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  485882474.0          19.4
 부산광역시  123660862.0           4.9
 대구광역시   87651389.0           3.5"
202101-202112_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,202101,202112,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  130221676.0           5.2   26850050.0          11.6
강원특별자치도    원주시  130221676.0           5.2   27171554.0          11.7
강원특별자치도    강릉시  130221676.0           5.2   30439048.0          13.1"
202101-202112_지역별 지출액.csv,regional_spending,202101,202112,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.4             15.1
강원특별자치도     고성군              3.4              3.5
강원특별자치도     동해시              3.4              3.7"
202201-202212_관광소비 추이.csv,tourism_spending_trend,202201,202212,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202201    전국 관광총소비 1.238408e+10
202202    전국 관광총소비 9.856367e+09
202203    전국 관광총소비 1.202977e+10"
202201-202212_방문자 수 추이.csv,visitor_trend,202201,202212,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
202201    전국  외지인방문자(b) 217201618.0
202201    전국 전체방문자(a+b) 945794955.0
202201    전국  현지인방문자(a) 728593338.0"
202201-202212_업종별 지출액.csv,business_spending,202201,202212,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        40.0        41.6
쇼핑업  대형쇼핑몰        40.0        51.7
쇼핑업 레저용품쇼핑        40.0         5.4"
202201-202212_지역별 방문자 수(광역별).csv,regional_visitors_metro,202201,202212,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  556130988.0          19.9
 부산광역시  138010708.0           4.9
 대구광역시   98772936.0           3.5"
202201-202212_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,202201,202212,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  153264262.0           5.5   32374272.0          12.0
강원특별자치도    원주시  153264262.0           5.5   31587332.0          11.7
강원특별자치도    강릉시  153264262.0           5.5   35738924.0          13.2"
202201-202212_지역별 지출액.csv,regional_spending,202201,202212,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.5             15.3
강원특별자치도     고성군              3.5              3.6
강원특별자치도     동해시              3.5              3.6"
202301-202312_관광소비 추이.csv,tourism_spending_trend,202301,202312,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202301    전국 관광총소비 1.401400e+10
202302    전국 관광총소비 1.314176e+10
202303    전국 관광총소비 1.458279e+10"
202301-202312_방문자 수 추이.csv,visitor_trend,202301,202312,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분        방문자 수
202301    전국  외지인방문자(b)  238220888.0
202301    전국 전체방문자(a+b) 1024451480.0
202301    전국  현지인방문자(a)  786230592.0"
202301-202312_업종별 지출액.csv,business_spending,202301,202312,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        39.5        42.8
쇼핑업  대형쇼핑몰        39.5        50.2
쇼핑업 레저용품쇼핑        39.5         5.1"
202301-202312_지역별 방문자 수(광역별).csv,regional_visitors_metro,202301,202312,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  587266491.0          20.1
 부산광역시  148044554.0           5.1
 대구광역시  102614956.0           3.5"
202301-202312_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,202301,202312,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  151848858.0           5.2   31979812.0          11.9
강원특별자치도    원주시  151848858.0           5.2   33205522.0          12.3
강원특별자치도    강릉시  151848858.0           5.2   34210099.0          12.7"
202301-202312_지역별 지출액.csv,regional_spending,202301,202312,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.3             15.0
강원특별자치도     고성군              3.3              3.5
강원특별자치도     동해시              3.3              3.8"
202401-202412_관광소비 추이.csv,tourism_spending_trend,202401,202412,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202401    전국 관광총소비 1.398528e+10
202402    전국 관광총소비 1.366863e+10
202403    전국 관광총소비 1.525700e+10"
202401-202412_방문자 수 추이.csv,visitor_trend,202401,202412,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
202401    전국  외지인방문자(b) 227943286.0
202401    전국 전체방문자(a+b) 992725584.0
202401    전국  현지인방문자(a) 764782298.0"
202401-202412_업종별 지출액.csv,business_spending,202401,202412,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        39.1        42.9
쇼핑업  대형쇼핑몰        39.1        50.3
쇼핑업 레저용품쇼핑        39.1         4.8"
202401-202412_지역별 방문자 수(광역별).csv,regional_visitors_metro,202401,202412,17,3,utf-8-sig,0,,광역지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율,ok,,"광역지자체명  광역지자체 방문자 수  광역지자체 방문자 비율
 서울특별시  595780850.0          20.4
 부산광역시  150240038.0           5.1
 대구광역시  105352492.0           3.6"
202401-202412_지역별 방문자 수(기초지자체별).csv,regional_visitors_local,202401,202412,229,6,utf-8-sig,0,,광역지자체명 | 기초지자체명 | 광역지자체 방문자 수 | 광역지자체 방문자 비율 | 기초지자체 방문자 수 | 기초지자체 방문자 비율,ok,," 광역지자체명 기초지자체명  광역지자체 방문자 수  광역지자체 방문자 비율  기초지자체 방문자 수  기초지자체 방문자 비율
강원특별자치도    춘천시  146618304.0           5.0   30040598.0          11.3
강원특별자치도    원주시  146618304.0           5.0   33771454.0          12.6
강원특별자치도    강릉시  146618304.0           5.0   33233340.0          12.4"
202401-202412_지역별 지출액.csv,regional_spending,202401,202412,229,4,utf-8-sig,0,,광역지자체 명 | 기초지자체 명 | 광역지자체 지출액 비율(%) | 기초지자체 지출액 비율(%),ok,,"광역지자체 명 기초지자체 명  광역지자체 지출액 비율(%)  기초지자체 지출액 비율(%)
강원특별자치도     강릉시              3.2             15.1
강원특별자치도     고성군              3.2              3.1
강원특별자치도     동해시              3.2              3.9"
202501-202512_관광소비 추이.csv,tourism_spending_trend,202501,202512,264,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 중분류 | 지출액(천원),ok,,"  기준년월 광역지자체   중분류      지출액(천원)
202501    전국 관광총소비 1.418950e+10
202502    전국 관광총소비 1.260253e+10
202503    전국 관광총소비 1.454402e+10"
202501-202512_방문자 수 추이.csv,visitor_trend,202501,202512,36,4,utf-8-sig,0,기준년월,기준년월 | 광역지자체 | 방문자 구분 | 방문자 수,ok,,"  기준년월 광역지자체     방문자 구분       방문자 수
202501    전국  외지인방문자(b) 249464400.0
202501    전국 전체방문자(a+b) 996248250.0
202501    전국  현지인방문자(a) 746783849.0"
202501-202512_업종별 지출액.csv,business_spending,202501,202512,21,4,utf-8-sig,0,,대분류 | 중분류 | 대분류 지출액 비율 | 중분류 지출액 비율,ok,,"대분류    중분류  대분류 지출액 비율  중분류 지출액 비율
쇼핑업 기타관광쇼핑        39.1        43.0
쇼핑업  대형쇼핑몰        39.1        50.3
쇼핑업 레저용품쇼핑        39.1         4.8"
